speed_kmh,fuel_consumption_l_per_100km,travel_time_h,engine_type
90,6.3,1.11,diesel
40,7.2,2.5,petrol
110,9.0,0.91,petrol
60,5.3,1.67,diesel
20,9.4,5.0,petrol
130,9.8,0.77,diesel
80,6.9,1.25,petrol
50,5.0,2.0,diesel
100,8.4,1.0,petrol
70,4.8,1.43,diesel
30,7.5,3.33,petrol
120,8.0,0.83,diesel
60,6.6,1.67,petrol
20,7.8,5.0,diesel
100,6.5,1.0,diesel
90,7.6,1.11,petrol
70,6.1,1.43,petrol
110,7.9,0.91,diesel
50,6.3,2.0,petrol
40,6.1,2.5,diesel
130,11.3,0.77,petrol
30,6.2,3.33,diesel
120,10.9,0.83,petrol
80,5.6,1.25,diesel
