OrderID,Customer,Product,Category,Quantity,Price,OrderDate
0,Olivia,Smartphone,Electronics,1,799,2023-06-01
1,Liam,Sofa,Furniture,1,1200,2023-06-02
2,Noah,T-shirt,Clothing,3,20,2023-06-03
3,Emma,Blender,Home Appliances,1,150,2023-06-04
4,Ava,Book,Books,2,15,2023-06-05
5,William,Headphones,Electronics,1,199,2023-06-06
6,Sophia,Sneakers,Footwear,2,120,2023-06-07
7,James,Desk,Furniture,1,350,2023-06-08
8,Isabella,Tablet,Electronics,1,600,2023-06-09
9,Benjamin,Jacket,Clothing,1,90,2023-06-10
10,Mia,Coffee Maker,Home Appliances,1,85,2023-06-11
11,Lucas,Monitor,Electronics,2,220,2023-06-12
12,Charlotte,Backpack,Accessories,1,60,2023-06-13
13,Henry,Watch,Accessories,1,250,2023-06-14
14,Amelia,Chair,Furniture,4,75,2023-06-15
15,Alexander,Keyboard,Electronics,1,70,2023-06-16
16,Evelyn,Microwave,Home Appliances,1,130,2023-06-17
17,Michael,Jeans,Clothing,2,55,2023-06-18
18,Abigail,Camera,Electronics,1,950,2023-06-19
19,Daniel,Sandals,Footwear,1,40,2023-06-20
20,Harper,Notebook,Books,5,10,2023-06-21
21,Matthew,Lamp,Home Decor,2,35,2023-06-22
22,Emily,Printer,Electronics,1,180,2023-06-23
23,Joseph,Bed,Furniture,1,800,2023-06-24
24,Elizabeth,Dress,Clothing,1,120,2023-06-25
25,David,Router,Electronics,1,95,2023-06-26
26,Sofia,Toaster,Home Appliances,1,45,2023-06-27
27,Andrew,Shoes,Footwear,2,110,2023-06-28
28,Ella,Shelf,Furniture,1,200,2023-06-29
29,Logan,Mouse,Electronics,3,25,2023-06-30
30,Grace,Scarf,Accessories,2,30,2023-07-01
31,Samuel,TV,Electronics,1,1400,2023-07-02
32,Chloe,Oven,Home Appliances,1,500,2023-07-03
33,Jack,Hat,Accessories,2,20,2023-07-04
34,Victoria,Heels,Footwear,1,150,2023-07-05
35,Owen,Game Console,Electronics,1,400,2023-07-06
36,Lily,Mirror,Home Decor,1,80,2023-07-07
37,Gabriel,Fridge,Home Appliances,1,900,2023-07-08
38,Hannah,Skirt,Clothing,1,70,2023-07-09
39,Julian,Speaker,Electronics,2,120,2023-07-10
40,Aria,Bag,Accessories,1,90,2023-07-11
41,Leo,Table,Furniture,1,450,2023-07-12
42,Nora,Kindle,Electronics,1,130,2023-07-13
43,Isaac,Sweater,Clothing,2,60,2023-07-14
44,Scarlett,Air Fryer,Home Appliances,1,110,2023-07-15
45,Wyatt,Boots,Footwear,1,140,2023-07-16
46,Zoey,Diary,Books,3,12,2023-07-17
47,Caleb,Webcam,Electronics,1,85,2023-07-18
48,Riley,Pillow,Home Decor,2,25,2023-07-19
49,Nathan,Desk Lamp,Home Decor,1,40,2023-07-20
